bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
9.295297999999999582e-04,9.207110000000000012e-05,7.360920999999999654e-04,3.452665999999999987e-05,7.803878000000000095e-05,1.400000000000000000e+01,1.978258960599999909e+02,-1.456332867500000017e+00,1.978258960999999942e+02,-1.456332900000000041e+00,1.836999999999999966e+00,7.540000000000000036e-01
3.428947000000000245e-02,3.617528000000000171e-04,7.387148999999999972e-04,3.452665999999999987e-05,4.899569999999999577e-04,2.340000000000000000e+02,1.978330476200000021e+02,-1.463480549100000028e+00,1.978330475999999862e+02,-1.463480499999999962e+00,3.696000000000000174e+00,3.317000000000000171e+00
4.559093000000000173e-03,1.898094000000000127e-04,7.384393000000000163e-04,3.452665999999999987e-05,1.541143000000000027e-04,5.700000000000000000e+01,1.978322076000000038e+02,-1.463272594300000007e+00,1.978322076000000038e+02,-1.463272600000000034e+00,2.423999999999999932e+00,1.885000000000000009e+00
1.106362999999999965e-03,1.003322000000000014e-04,7.369202000000000261e-04,3.452665999999999987e-05,1.578457000000000124e-04,1.600000000000000000e+01,1.978301128399999982e+02,-1.460724311999999969e+00,1.978301127999999949e+02,-1.460724300000000087e+00,1.772000000000000020e+00,7.920000000000000373e-01
1.857348999999999892e-03,1.173680999999999986e-04,7.490943999999999815e-04,3.452665999999999987e-05,1.960548000000000054e-04,2.100000000000000000e+01,1.978390463499999896e+02,-1.474136409600000031e+00,1.978390463000000068e+02,-1.474136399999999902e+00,1.304000000000000048e+00,1.229000000000000092e+00
1.593117999999999921e-03,1.239544999999999937e-04,7.395563999999999654e-04,3.452665999999999987e-05,9.858892999999999596e-05,1.800000000000000000e+01,1.978334145999999976e+02,-1.465567218699999952e+00,1.978334145999999976e+02,-1.465567199999999959e+00,1.477999999999999980e+00,1.342000000000000082e+00
2.601982000000000188e-04,5.146930999999999934e-05,7.404786000000000224e-04,3.452665999999999987e-05,6.969278999999999719e-05,4.000000000000000000e+00,1.978342035400000043e+02,-1.467012232300000107e+00,1.978342035000000010e+02,-1.467012200000000099e+00,7.409999999999999920e-01,4.530000000000000138e-01
1.550717999999999975e-03,1.173680999999999986e-04,7.356233000000000216e-04,3.452665999999999987e-05,1.051953999999999991e-04,2.200000000000000000e+01,1.978258520699999963e+02,-1.452466337199999957e+00,1.978258520999999917e+02,-1.452466299999999988e+00,1.657999999999999918e+00,1.124000000000000110e+00
3.127182000000000052e-03,1.260735999999999986e-04,7.474771000000000063e-04,3.452665999999999987e-05,3.668392999999999828e-04,2.600000000000000000e+01,1.978404487800000027e+02,-1.474327442100000107e+00,1.978404487999999901e+02,-1.474327399999999955e+00,1.377999999999999892e+00,1.199999999999999956e+00
6.488274999999999945e-04,7.278859999999999627e-05,7.361222999999999638e-04,3.452665999999999987e-05,9.968969999999999524e-05,9.000000000000000000e+00,1.978276173200000017e+02,-1.455328091299999960e+00,1.978276172999999858e+02,-1.455328100000000013e+00,9.449999999999999512e-01,7.279999999999999805e-01
