bit_flux_iso,bit_iso_fluxerr,bit_background,bit_thresh,bit_maxflux,bit_isoarea,bit_xworld,bit_yworld,bit_alpha,bit_delta,bit_a,bit_b
1.492704000000000134e-04,2.757206000000000042e-05,1.075231999999999967e-03,1.849590000000000023e-05,3.562052999999999758e-05,5.000000000000000000e+00,1.978396406599999864e+02,-1.425838459800000013e+00,1.978396406999999897e+02,-1.425838500000000009e+00,7.469999999999999973e-01,4.520000000000000129e-01
1.470406999999999964e-04,2.757206000000000042e-05,1.075603999999999970e-03,1.849590000000000023e-05,4.552375000000000269e-05,4.000000000000000000e+00,1.978464220300000136e+02,-1.435824906199999917e+00,1.978464219999999898e+02,-1.435824900000000071e+00,7.469999999999999973e-01,4.480000000000000093e-01
2.312249999999999961e-04,3.487620999999999723e-05,1.075573000000000024e-03,1.849590000000000023e-05,4.243920999999999918e-05,6.000000000000000000e+00,1.978709134100000142e+02,-1.472196005300000055e+00,1.978709134000000063e+02,-1.472196000000000060e+00,1.243999999999999995e+00,5.420000000000000373e-01
1.710210999999999947e-04,3.020367999999999878e-05,1.075802000000000052e-03,1.849590000000000023e-05,4.372804000000000155e-05,6.000000000000000000e+00,1.978619520400000056e+02,-1.458359571499999952e+00,1.978619520000000023e+02,-1.458359600000000089e+00,7.830000000000000293e-01,5.000000000000000000e-01
1.063566999999999985e-02,2.029873000000000072e-04,1.075624000000000068e-03,1.849590000000000023e-05,1.049020000000000063e-04,2.280000000000000000e+02,1.978393160999999907e+02,-1.417491687899999908e+00,1.978393160999999907e+02,-1.417491700000000021e+00,6.346000000000000085e+00,2.702999999999999847e+00
2.349410000000000040e-02,1.617142999999999977e-04,1.075493000000000065e-03,1.849590000000000023e-05,1.936552000000000022e-03,1.560000000000000000e+02,1.978509966800000086e+02,-1.435513389700000086e+00,1.978509966999999961e+02,-1.435513400000000050e+00,2.504000000000000004e+00,2.141000000000000014e+00
8.205750000000000370e-04,5.650591999999999854e-05,1.075416999999999953e-03,1.849590000000000023e-05,1.247462000000000017e-04,1.700000000000000000e+01,1.978286109199999885e+02,-1.403013325000000089e+00,1.978286109000000010e+02,-1.403013300000000019e+00,1.346000000000000085e+00,1.008000000000000007e+00
3.398436999999999986e-02,1.816410999999999980e-04,1.075716999999999906e-03,1.849590000000000023e-05,2.569938999999999817e-03,1.910000000000000000e+02,1.978473404499999901e+02,-1.428437294699999915e+00,1.978473404000000073e+02,-1.428437299999999910e+00,2.629000000000000004e+00,2.318000000000000060e+00
7.086966000000000099e-03,1.489911999999999975e-04,1.075688999999999899e-03,1.849590000000000023e-05,2.287835999999999960e-04,1.230000000000000000e+02,1.978267454900000075e+02,-1.396489379099999928e+00,1.978267454999999870e+02,-1.396489400000000103e+00,3.338000000000000078e+00,2.346999999999999975e+00
1.663832999999999979e-02,2.718331999999999845e-04,1.075791999999999894e-03,1.849590000000000023e-05,8.559041000000000034e-05,4.040000000000000000e+02,1.978538039800000092e+02,-1.433558514100000014e+00,1.978538039999999967e+02,-1.433558499999999958e+00,7.727999999999999758e+00,4.722000000000000419e+00
